1117487978576662528	philippinesEarthquake2019	[(0, 0.97307974), (1, 0.010199885), (2, 0.016720438)]
1117581876103790592	philippinesEarthquake2019	[(0, 0.022335233), (1, 0.9550937), (2, 0.022571074)]
1117608991540912129	philippinesEarthquake2019	[(0, 0.9641249), (1, 0.013465282), (2, 0.022409767)]
1117611012931444741	philippinesEarthquake2019	[(0, 0.9759713), (2, 0.014996002)]
1117633309800951808	philippinesEarthquake2019	[(0, 0.9762349), (2, 0.015201808)]
1117803916706451456	philippinesEarthquake2019	[(0, 0.9741976), (2, 0.016045505)]
1117835904645644292	philippinesEarthquake2019	[(0, 0.9752951), (2, 0.015367558)]
1117886666348224512	philippinesEarthquake2019	[(0, 0.9730332), (1, 0.0102093015), (2, 0.016757505)]
1118074262684884992	philippinesEarthquake2019	[(0, 0.9534997), (1, 0.017854825), (2, 0.028645463)]
1118140710048477186	philippinesEarthquake2019	[(0, 0.58616513), (1, 0.22906356), (2, 0.18477131)]
1118183689643446272	philippinesEarthquake2019	[(0, 0.97432846), (2, 0.01593988)]
1118185868009725952	philippinesEarthquake2019	[(0, 0.7377133), (1, 0.21022795), (2, 0.052058775)]
1118203729293897728	philippinesEarthquake2019	[(0, 0.9781568), (2, 0.0135847125)]
1118221104924045312	philippinesEarthquake2019	[(0, 0.98363924), (2, 0.010201948)]
1118344082726645760	philippinesEarthquake2019	[(0, 0.94790256), (1, 0.019689554), (2, 0.032407843)]
1118344513246892033	philippinesEarthquake2019	[(0, 0.96600693), (1, 0.012787417), (2, 0.021205686)]
1118344586005504001	philippinesEarthquake2019	[(0, 0.95938414), (1, 0.015399577), (2, 0.02521627)]
1118345866635558913	philippinesEarthquake2019	[(0, 0.94617057), (1, 0.01997776), (2, 0.03385168)]
1118399487066759168	philippinesEarthquake2019	[(0, 0.97439325), (2, 0.015886456)]
1118472170521284608	philippinesEarthquake2019	[(0, 0.9732482), (1, 0.01016902), (2, 0.016582819)]
1118548865831976960	philippinesEarthquake2019	[(0, 0.97010535), (1, 0.01137044), (2, 0.018524228)]
1118551613461843969	philippinesEarthquake2019	[(0, 0.97438496), (2, 0.015893165)]
1118858011089391616	philippinesEarthquake2019	[(0, 0.96575505), (1, 0.013436311), (2, 0.020808656)]
1119270323784806400	philippinesEarthquake2019	[(0, 0.97689474), (2, 0.014286093)]
1119324644484366336	philippinesEarthquake2019	[(0, 0.97541755), (2, 0.015269086)]
1119345939561336832	philippinesEarthquake2019	[(0, 0.97318023), (1, 0.010182191), (2, 0.016637523)]
1119461030369738752	philippinesEarthquake2019	[(0, 0.9743578), (2, 0.015915228)]
1119545178782674944	philippinesEarthquake2019	[(0, 0.23738125), (1, 0.75268966)]
1119642743138148354	philippinesEarthquake2019	[(0, 0.9830313), (2, 0.010611804)]
1119849898424147969	philippinesEarthquake2019	[(0, 0.9756236), (2, 0.0151000265)]
1119878224320663553	philippinesEarthquake2019	[(0, 0.9714673), (1, 0.010757519), (2, 0.017775124)]
1119982315940171776	philippinesEarthquake2019	[(0, 0.97439617), (2, 0.01588382)]
1119999605700055040	philippinesEarthquake2019	[(0, 0.97004956), (1, 0.011308755), (2, 0.018641666)]
1120116153836113920	philippinesEarthquake2019	[(0, 0.97011024), (1, 0.011298215), (2, 0.01859152)]
1120126547627790336	philippinesEarthquake2019	[(0, 0.016649371), (1, 0.42207292), (2, 0.56127775)]
1120179208397914112	philippinesEarthquake2019	[(0, 0.9489583), (1, 0.019497005), (2, 0.031544704)]
1120194661228974080	philippinesEarthquake2019	[(0, 0.9606701), (1, 0.014436695), (2, 0.024893174)]
1120254131074211840	philippinesEarthquake2019	[(0, 0.6101182), (1, 0.26210552), (2, 0.12777627)]
1120254445952978945	philippinesEarthquake2019	[(0, 0.018767646), (1, 0.54438627), (2, 0.43684608)]
1120254459081191429	philippinesEarthquake2019	[(0, 0.05783575), (1, 0.036044773), (2, 0.90611947)]
1120254495856816129	philippinesEarthquake2019	[(0, 0.035907727), (1, 0.25581795), (2, 0.7082743)]
1120254544342999042	philippinesEarthquake2019	[(0, 0.059643373), (1, 0.23505674), (2, 0.70529985)]
1120254559631208448	philippinesEarthquake2019	[(0, 0.072757505), (1, 0.043865528), (2, 0.88337696)]
1120254708520591361	philippinesEarthquake2019	[(0, 0.049751654), (1, 0.58970773), (2, 0.3605406)]
1120254833791864832	philippinesEarthquake2019	[(0, 0.03426276), (1, 0.5168694), (2, 0.44886786)]
