id,new
72678400833228800,True
72787965184716800,True
72871116724633600,True
73023697123938304,True
73050416832708608,True
73151882612326400,True
73212444264243200,True
73214313971712000,True
73429563790737408,True
73432425660825600,True
73562498883784704,True
73823143323643904,True
73894035332399104,True
74209988796616704,True
77720662453649408,True
78495934572539904,True
79715771021918208,True
204101208015769600,True
204144421904723969,True
204165208879546368,True
204195361726808064,False
204357102486032384,True
204471661519585280,True
204555593724346369,True
204618743152775168,True
205105508925972481,True
207393052967440384,False
207468177138003968,True
207567443726581761,True
207761270907224064,True
207811501887721472,True
207898768610312192,True
209395929592238081,False
232916596555907073,True
245689833522098177,True
266222126007197696,True
266223501705355266,True
266231957447376896,False
266234029412605952,False
266244359991721984,True
266263947395624960,True
266275586610196481,True
266303654892552192,True
266380041519243265,True
266423813309353985,False
266474979590303744,False
266488594301071360,True
266577916203257856,True
266591325397344256,True
266884511441252352,True
266952564053000192,True
267758554054787072,True
267765248193339392,True
268001748201922561,True
293846957166833664,True
293904771461562368,True
293925403238748161,True
293965794398859265,True
293978649948979201,True
294219100979343360,True
294240391300005889,True
294366161687150592,True
294383769383739392,True
294405693010755584,True
294592310157647875,True
294673100845490177,True
294763987239854080,True
294765144850984960,False
294839698591981568,True
294888574833270784,True
294959261455372288,True
294960435843719169,False
294998411080507392,True
294999522558504960,True
295020468925239297,True
295020598957051904,False
295040974848159745,True
295045731205672960,False
295058347676274688,False
295075074569023488,True
295082720781021185,True
295084197155074048,False
295085275087003648,True
295109748876005376,True
295120154956820480,True
295143408140427264,True
295163796685717504,False
295233594073444353,True
295247082955083777,True
295276862538645504,True
295294411494002688,True
295311247438647297,True
295335339529228288,True
295341916160139264,True
295345078694727681,True
295359003763040256,True
295359125414637568,False
295359268012556288,True
295365962134343680,True
295368910738444288,True
295369619538067456,True
295379857859305473,True
295382131167854593,True
295390037409935360,True
295415245181161472,True
295424011297488897,True
295426657886552064,True
295432240534532096,True
295434299916820480,True
295436468376178688,True
295472887509417984,True
295479883608514561,True
295513568051339264,True
295558723965960193,True
295559353078001664,True
295598964097576960,True
295605876327329793,True
295612754973323264,True
295628391342800896,True
295647806755045376,True
295654739939577857,True
295673287172829184,True
295677397582376961,True
295682581754683393,True
295683886191620097,True
295688655106887681,True
295691196850913280,True
295692690023137280,True
295693944132624384,True
295698209702039553,True
295699161830023169,True
295707143577939968,True
295709433688907776,True
295717868413276160,True
295744682611318787,True
295745215283736576,True
295745668264382465,True
295746213515497472,True
295761480815632384,True
295769764561817600,True
295772817998376960,True
295786793436069888,False
295793122632421376,True
295812462547193856,True
295814861710057472,True
295831487931105280,True
295844821615116288,True
295978598957989888,True
296017710838591488,True
296062078182113280,True
296085503378350080,True
296087323702075392,True
296100644782239746,True
296108127441526785,True
296108676912136193,True
296115220009603074,True
296116331495960577,True
296148417904787456,True
296149839811575808,True
296171822137876482,True
296182265971609600,True
296190734246223872,True
296212376880041984,True
296253212598620161,True
296261118857457665,True
296280127459966976,True
296371022217744384,True
296372330844803072,True
296378274177748992,True
296380157403463681,True
296394933965824000,True
296407927907041280,True
296425892115267584,True
296484767535345664,True
296644994155040768,False
296708378489651201,True
296965606769565696,True
297087958786392065,True
297242577613250561,True
297613274399272960,True
298204356677890048,True
323874466063085568,True
323874558325161984,True
323875384603058176,True
323875539788128256,True
323876642911031297,True
323877544694784000,False
323879553741234176,True
323880648479748096,True
323881852215631873,True
323883827762180097,True
323887460008468480,True
323888860910194688,True
323890286981967872,True
323891427815878656,True
323894003143700480,True
323895773127393281,True
323895987028504577,True
323896037381111810,True
323896414839111681,True
323903763280711683,True
323908469285588993,True
323908842566086656,True
323909568176472064,True
323916316836765697,True
323919991013527552,True
323935711264907265,True
323938127209197568,True
323942820635373568,True
323951397974470658,True
324167417217564674,True
324567776138248192,True
324579952173404161,True
324651821589229568,True
324996958278270976,True
324998724059291648,True
324999512588435456,False
325014511457280001,False
325040650326257665,True
325070396363767811,True
325133277369364483,True
325143326909136896,True
325158602560118784,True
325187727790321664,True
325207508127977473,True
325210305724563456,True
325213891854483456,True
325221353546477568,True
325237988156121089,True
325247211418034176,True
325330736779497472,True
325392887980363776,True
325396675428495361,True
325410667643416576,True
329614840832327682,True
347834360541614080,True
347914811511808001,True
347952103056093184,True
347994553594298369,True
348089730736463872,True
348177437844176896,True
348194420568489984,True
348572415439278082,True
348868147421536256,True
348905854227054594,True
348913546568015872,True
348942877352669186,True
348965090374057985,True
348972807918600192,True
349199627486117891,True
349886910312886276,True
352832884589072384,True
353325488816664576,True
368967734542864384,True
369116846261166080,True
369674277651353601,True
369676118921469952,True
369715109175623680,True
369719022465454081,True
390763154252124160,True
390797212013572096,True
391050350834487296,True
391067446833975296,True
391335295070646272,True
391395655291117569,True
391995818275639298,True
392057621320302593,True
392151418540281856,True
392157382844760064,True
392166220264636416,True
392598602645643264,True
392603065389301760,True
392776009126121472,True
392852450316546048,True
392855734464962561,True
392942845960925184,True
393169841722376192,True
393170756072263680,True
394270284481847296,True
395055638520139776,True
395654908101132288,True
398069539570606080,True
398388545754132480,True
398391037145530368,True
398600026748092416,True
398617563107573760,True
398680033092329472,True
398705551212683264,True
398722122916175872,True
398732952621694976,True
398991925732077568,True
398993678934753280,True
398996111626878976,True
399353147568963584,True
399354091282788352,False
399358092640411648,True
399378208547545088,True
399388090319384577,False
399464246305497088,True
399493765825855488,True
399513701327597568,True
399519921484206080,True
399561826792644608,True
399564922180214785,True
399575336616493056,True
399606173177225216,True
399609377587732480,True
399625198535593984,True
399628956615180288,True
399644613973385216,True
399686208848023552,True
399798461018931200,True
399859978867339264,True
399909391966552064,True
399939012154359809,False
399939037328601088,True
399956263317929985,True
399994746078515200,True
400150895825920000,True
400394563895840768,True
400481759281688576,True
400980642403336192,True
401054462141530113,True
401065275069829120,False
401221768738013184,True
402085996696973312,True
402807966401069056,True
405755639382568960,True
451613985880563713,True
451885134392729601,True
451950643406598144,True
451963283067514880,True
451972967145017344,False
452239020819365888,False
452282875459551232,False
452300887017287682,True
452313787962372096,False
456611206602575872,True
